H:M:S,signature,x location,y location,width,height 
17:54:6,1,84,113,168,184
17:54:7,1,298,165,36,72
17:54:8,1,239,120,154,104
17:54:9,1,286,129,60,45
17:54:10,1,304,119,24,7
17:54:11,1,24,112,48,188
17:54:12,1,158,103,316,206
17:54:13,1,283,116,66,82
17:54:14,1,123,119,246,144
17:54:15,1,303,102,26,49
17:54:16,1,95,116,190,177
17:54:17,1,168,126,296,160
17:54:18,1,29,83,34,5
17:54:19,1,29,83,34,5
17:54:20,1,200,50,180,100
17:54:21,1,164,31,200,62
17:54:22,1,270,40,88,81
17:54:23,1,276,55,72,14
17:54:24,1,276,55,72,14
17:54:25,1,189,68,86,75
17:54:26,1,183,25,46,29
17:54:27,1,247,62,134,92
17:54:28,1,158,78,20,5
17:54:29,1,70,72,60,9
17:54:30,1,90,144,180,126
17:54:31,1,91,142,182,129
